"","V1"
"842",0.888
"843",0.8895
"844",0.8886
"845",0.8882
"846",0.8872
"847",0.8892
"848",0.8969
"849",0.8971
"850",0.9038
"851",0.9008
"852",0.9032
"853",0.9083
"854",0.9144
"855",0.9125
"856",0.9088
"857",0.9061
"858",0.9118
"859",0.9118
"860",0.9062
"861",0.903
"862",0.9124
"863",0.9152
"864",0.9202
"865",0.9213
"866",0.926
"867",0.9213
"868",0.9188
"869",0.919
"870",0.9255
"871",0.932
"872",0.9375
"873",0.9387
"874",0.9313
"875",0.9435
"876",0.9371
"877",0.9386
"878",0.9452
"879",0.9459
"880",0.9417
"881",0.9452
"882",0.9417
"883",0.9478
"884",0.9426
"885",0.9484
"886",0.9561
"887",0.9592
"888",0.9636
"889",0.9781
"890",0.9712
"891",0.9917
"892",0.9824
"893",0.9975
"894",0.9913
"895",0.9838
"896",0.978
"897",0.979
"898",0.9725
"899",0.9828
"900",0.993
"901",0.9898
"902",0.9836
"903",0.9873
"904",1.0024
"905",1.0127
"906",1.0064
"907",1.0058
"908",1.0146
"909",1.0086
"910",0.991
"911",0.9915
"912",1.0014
"913",1.0008
"914",0.9821
"915",0.9835
"916",0.9783
"917",0.976
"918",0.9873
"919",0.9836
"920",0.9689
"921",0.9698
"922",0.9687
"923",0.9729
"924",0.978
"925",0.9799
"926",0.9857
"927",0.9777
"928",0.9825
"929",0.9799
"930",0.9792
"931",0.9762
"932",0.977
"933",0.9697
"934",0.9701
"935",0.9774
"936",0.9826
"937",0.9843
"938",0.9833
"939",0.9821
"940",0.991
"941",0.9947
"942",0.9975
"943",0.9918
"944",0.9794
"945",0.976
"946",0.9749
"947",0.9757
"948",0.981
"949",0.9683
"950",0.9649
"951",0.9725
"952",0.9814
"953",0.979
"954",0.9831
"955",0.9828
"956",0.9771
"957",0.9796
"958",0.9779
"959",0.986
"960",0.9861
"961",0.9835
"962",0.989
"963",0.9865
"964",0.9808
"965",0.98
"966",0.9814
"967",0.9875
"968",0.9857
"969",0.9873
"970",0.981
"971",0.9823
"972",0.9763
"973",0.9735
"974",0.9748
"975",0.9768
"976",0.9775
"977",0.9738
"978",0.9763
"979",0.9745
"980",0.982
"981",0.9825
"982",0.9864
"983",0.9974
"984",0.9944
"985",1.0024
"986",0.9955
"987",1.0013
"988",1.0107
"989",1.0126
"990",1.0081
"991",1.0068
"992",1.0095
"993",1.0029
"994",1.0065
"995",1.0125
"996",1.0019
"997",1.0034
"998",1.0024
"999",0.9905
"1000",0.991
"1001",0.9927
"1002",0.9934
"1003",0.9927
"1004",0.9871
"1005",0.9967
"1006",1.0018
"1007",0.9991
"1008",1.0006
"1009",1.0093
"1010",1.0111
"1011",1.0067
"1012",1.0156
"1013",1.0221
"1014",1.0212
"1015",1.0307
"1016",1.024
"1017",1.0273
"1018",1.0255
"1019",1.0282
"1020",1.0296
"1021",1.0376
"1022",1.0422
"1023",1.0487
"1024",1.0446
"1025",1.0392
"1026",1.0488
"1027",1.0425
"1028",1.0377
"1029",1.0507
"1030",1.0503
"1031",1.0549
"1032",1.0577
"1033",1.0526
"1034",1.0564
"1035",1.0652
"1036",1.0653
"1037",1.0653
"1038",1.0718
"1039",1.0757
"1040",1.0784
"1041",1.087
"1042",1.0808
"1043",1.0868
"1044",1.0748
"1045",1.0816
"1046",1.0729
"1047",1.0822
"1048",1.091
"1049",1.0813
"1050",1.0789
"1051",1.0808
